"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-01",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-02",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-03",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-04",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-05",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-06",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-07",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-08",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-09",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-10",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-11",,,"0.63",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-24","   13","0.05",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-01-26","    2","2.18",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-03","    8","0.01",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-04",,,"0.50",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-05",,,"0.05",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-06",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-07",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-08",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-09",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-10",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-11",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-14","    3","0.00",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-15",,,"1.10",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-16",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-17",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-18",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-19",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-20",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-21",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-02-27","    6","0.51",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-06","    7","0.14",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-07",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-08",,,"0.51",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-09",,,"0.06",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-11","    2","0.00",,
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-12",,,"1.45",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-13",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-14",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-15",,,"0.00","0.0"
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-16",,,"0.77",
"US1LAJF0005","RIVER RIDGE 0.7 N, LA US","2026-03-17",,,"0.00","0.0"
